Date,High,Low,Open,Close,Volume,Adj Close
01/08/2019,328.5799866,318.7399902,324.25,319.5,6563200,319.5
02/08/2019,319.4100037,311.7999878,317.4899902,318.8299866,6280300,318.8299866
05/08/2019,313.4200134,304.6799927,310.9599915,307.6300049,8692500,307.6300049
06/08/2019,311.8800049,305.2999878,310.5799866,310.1000061,6179100,310.1000061
07/08/2019,305,296.8099976,302.5599976,304.2900085,9322400,304.2900085
08/08/2019,316.3599854,306.6300049,311.0299988,315.8999939,5905900,315.8999939
09/08/2019,316.6400146,305.6799927,313.7399902,308.9299927,5349100,308.9299927
12/08/2019,312.8900146,303.2399902,305.4599915,310.8299866,6531700,310.8299866
13/08/2019,316.4299927,308.1600037,309.769989,312.2799988,5289400,312.2799988
14/08/2019,308.4100037,298.0100098,308.0100098,299.1099854,7355800,299.1099854
15/08/2019,300.6300049,288,299.5,295.7600098,9629200,295.7600098
16/08/2019,303.5499878,296.269989,298.8599854,302.7999878,6905800,302.7999878
19/08/2019,311.75,304.75,306.25,309.3800049,4942200,309.3800049
20/08/2019,305,297.6799927,304.5700073,298.9899902,7349900,298.9899902
21/08/2019,302.8800049,296.2000122,301.6099854,297.8099976,5685400,297.8099976
22/08/2019,300.3299866,293.1499939,298.6499939,296.9299927,4974200,296.9299927
23/08/2019,299.0100098,290.3200073,295,291.4400024,6324900,291.4400024
26/08/2019,296.9500122,292.5,295.2399902,294.980011,4695700,294.980011
27/08/2019,296.769989,287.2000122,294.5400085,291.0299988,6309400,291.0299988
28/08/2019,292.8200073,287.75,289.4700012,291.769989,3955700,291.769989
29/08/2019,299.9299927,294.9899902,295,296.7799988,4388500,296.7799988
30/08/2019,298.9400024,290.8500061,298.7799988,293.75,4446400,293.75
03/09/2019,293.8999939,288.0599976,290.8200073,289.2900085,3682800,289.2900085
04/09/2019,292.3800049,286.5100098,291.25,291.519989,4652500,291.519989
05/09/2019,293.9700012,282.7900085,285.3200073,293.25,8966800,293.25
06/09/2019,293.3500061,287.0299988,293.3500061,290.1700134,5166600,290.1700134
09/09/2019,301.5499878,290.6000061,294.8099976,294.3399963,8232700,294.3399963
10/09/2019,297.1700134,282.6600037,291.1600037,287.9899902,12320200,287.9899902
11/09/2019,292.6499939,284.6099854,285.7000122,288.269989,7405900,288.269989
12/09/2019,292.730011,286.6000061,288.1000061,288.8599854,5010900,288.8599854
13/09/2019,296.6199951,290.0400085,290.6099854,294.1499939,6583100,294.1499939
16/09/2019,297.4299927,289.7799988,294.230011,294.2900085,5307400,294.2900085
17/09/2019,299.1499939,291.7900085,294.5,298.6000061,4777100,298.6000061
18/09/2019,296.0499878,287.4500122,294.9899902,291.5599976,7811100,291.5599976
19/09/2019,293.8099976,283.3999939,291.5599976,286.6000061,8461300,286.6000061
20/09/2019,282.5,266,280.2600098,270.75,23832800,270.75
23/09/2019,273.3900146,261.8900146,268.3500061,265.9200134,13478600,265.9200134
24/09/2019,265,252.2799988,262.5,254.5899963,16338200,254.5899963
25/09/2019,266.6000061,253.6999969,255.7100067,264.75,11643800,264.75
26/09/2019,268.0499878,260.2000122,266.4200134,263.3099976,7684000,263.3099976
27/09/2019,267.4400024,260.3900146,266.1799927,263.0799866,7328300,263.0799866
30/09/2019,268.8800049,262.7799988,264,267.6199951,6727200,267.6199951
01/10/2019,272.2000122,264.0299988,267.3500061,269.5799866,8650300,269.5799866
02/10/2019,269.3500061,262.1900024,263.6099854,268.0299988,7659100,268.0299988
03/10/2019,268.8399963,257.0100098,267.7799988,268.1499939,8951000,268.1499939
04/10/2019,275.480011,266.4700012,268.2000122,272.7900085,9890400,272.7900085
07/10/2019,276.6799927,271.2799988,271.9899902,274.4599915,6525600,274.4599915
08/10/2019,275.5299988,270.6400146,273.0299988,270.7200012,6276400,270.7200012
09/10/2019,271,264.5700073,270.019989,267.5299988,6794400,267.5299988
10/10/2019,280.5299988,265.0299988,265.9700012,280.480011,10809100,280.480011
11/10/2019,287.8699951,282.3399963,284.7999878,282.9299927,8786100,282.9299927
14/10/2019,286.9299927,282,283.9299927,285.5299988,5513200,285.5299988
15/10/2019,285.8699951,279.3999939,283.8200073,284.25,7685600,284.25
16/10/2019,288.1700134,280.7399902,283.1199951,286.2799988,16175900,286.2799988
17/10/2019,308.75,288.2999878,304.4899902,293.3500061,38258900,293.3500061
18/10/2019,290.8999939,273.3599854,289.3599854,275.2999878,23429900,275.2999878
21/10/2019,279.9400024,269,272.8900146,278.0499878,12599200,278.0499878
22/10/2019,275.4100037,265.7999878,271.1600037,266.6900024,11802400,266.6900024
23/10/2019,273.9200134,266.6300049,268.0599976,271.269989,7133500,271.269989
24/10/2019,274.019989,268.7999878,271.8099976,271.5,4827400,271.5
25/10/2019,277.769989,270.1799927,270.6799927,276.8200073,4747800,276.8200073
28/10/2019,285.75,277.3500061,278.0499878,281.8599854,6248400,281.8599854
29/10/2019,284.4100037,277.5499878,281.8699951,281.2099915,4356200,281.2099915
30/10/2019,293.4899902,283,284.3399963,291.4500122,9345600,291.4500122
31/10/2019,291.4500122,284.7799988,291,287.4100037,5090000,287.4100037
01/11/2019,289.1199951,283.019989,288.7000122,286.8099976,5594300,286.8099976
04/11/2019,295.3900146,287.1600037,288,292.8599854,5566200,292.8599854
05/11/2019,291.1900024,286.3099976,289.9899902,288.0299988,4062400,288.0299988
06/11/2019,290.5599976,285.8399963,288.1900024,288.5899963,3438300,288.5899963
